generic id,generic name,slug,drug class,indication
127,Betamethasone + Clotrimazole,betamethasone-clotrimazole-127,Betamethasone & Combined preparations,Tinea corporis (ringworm)
125,Betamethasone + Clotrimazole + Gentamicin,betamethasone-clotrimazole-gentamicin-125,Betamethasone & Combined preparations,Urticaria
1600,Benzalkonium chloride,benzalkonium-chloride-1600,Bleaching and Disinfectants,Topical antiseptic
1288,Bendamustine,bendamustine-1288,Cytotoxic Chemotherapy,Non-Hodgkin lymphoma
1713,Saffron + Mace arillus + Nutmeg fruit,saffron-mace-arillus-nutmeg-fruit-1713,Herbal and Nutraceuticals,Premature ejaculation
1967,Bempedoic acid,bempedoic-acid-1967,,
1787,Saccharomyces Boulardii,saccharomyces-boulardii-1787,Herbal and Nutraceuticals,Ulcerative colitis
1753,Rohitakarista,rohitakarista-1753,Herbal and Nutraceuticals,Jaundice
1726,Rhubarb + Ginger,rhubarb-ginger-1726,Herbal and Nutraceuticals,Nausea
1707,Rehmin,rehmin-1707,Herbal and Nutraceuticals,Vaginal leucorrhoea
100,Azithromycin Dihydrate,azithromycin-dihydrate-100,,
1634,Azilsartan Medoxomil + Chlorthalidone,azilsartan-medoxomil-chlorthalidone-1634,Combined antihypertensive preparations,Stroke
145,Bromhexine Hydrochloride,bromhexine-hydrochloride-145,Cough expectorants & mucolytics,Bronchitis
144,Bromfenac Sodium,bromfenac-sodium-144,Ophthalmic Non-Steroid drugs,Postoperative ocular inflammation
148,Bromelain + Trypsin,bromelain-trypsin-148,Enzymes,Sprains
143,Bromazepam,bromazepam-143,Benzodiazepine sedatives,Panic attack
1566,Brivaracetam,brivaracetam-1566,Adjunct anti-epileptic drugs,Partial seizures
141,Brinzolamide + Brimonidine Tartrate,brinzolamide-brimonidine-tartrate-141,Drugs for miotics and glaucoma,Open angle glaucoma
1282,Brinzolamide + Timolol,brinzolamide-timolol-1282,Drugs for miotics and glaucoma,Open angle glaucoma
142,Brinzolamide,brinzolamide-142,Drugs for miotics and glaucoma,Open angle glaucoma
140,Brimonidine Tartrate + Timolol Maleate,brimonidine-tartrate-timolol-maleate-140,Drugs for miotics and glaucoma,Open angle glaucoma
139,Brimonidine Tartrate,brimonidine-tartrate-139,Drugs for miotics and glaucoma,
1641,Brigatinib,brigatinib-1641,Cytotoxic Chemotherapy,Metastatic non-small cell lung cancer
1562,Brexpiprazole,brexpiprazole-1562,Benzodiazepine antagonist,Schizophrenia
1387,Bortezomib,bortezomib-1387,Targeted Cancer Therapy,Multiple myeloma
138,Bosentan Monohydrate,bosentan-monohydrate-138,Anti-hypertensive,Systemic sclerosis
137,Bleomycin Sulfate,bleomycin-sulfate-137,Cytotoxic Chemotherapy,Testicular cancer
1475,Bivalirudin,bivalirudin-1475,Anti-platelet drugs,Unstable angina
135,Bisoprolol Hemifumarate,bisoprolol-hemifumarate-135,Anti adrenergic agent (Beta blockers),Hypertension
136,Bisoprolol Fumarate + Hydrochlorothiazide,bisoprolol-fumarate-hydrochlorothiazide-136,Combined antihypertensive preparations,Hypertension
1433,Bisoprolol Fumarate + Amlodipine Besilate,bisoprolol-fumarate-amlodipine-besilate-1433,Anti-hypertensive,Hypertension
134,Bismuth Subsalicylate,bismuth-subsalicylate-134,,
99,Azilsartan Medoxomil,azilsartan-medoxomil-99,Angiotensin-ll receptor blocker,Hypertension
1300,Azelastine Hydrochloride + Fluticasone Propionate,azelastine-hydrochloride-fluticasone-propionate-1300,Nasal Steroid Preparations,Perennial or seasonal allergic rhinitis
98,Azelastine Hydrochloride (Nasal Spray),azelastine-hydrochloride-nasal-spray-98,Nasal Anti-histamine preparations,Vasomotor rhinitis
1727,Nux-vomica + Black Pepper + Long Pepper,nux-vomica-black-pepper-long-pepper-1727,Herbal and Nutraceuticals,Rheumatoid arthritis
1760,Nimbadi Churna,nimbadi-churna-1760,Herbal and Nutraceuticals,Psoriasis
1525,Nigella Sativa [Black Seed Oil],nigella-sativa-black-seed-oil-1525,Herbal and Nutraceuticals,Vomiting
1759,Neem,neem-1759,Herbal and Nutraceuticals,Wounds
1693,Natural medicine for diabetes,natural-medicine-for-diabetes-1693,Herbal and Nutraceuticals,Diabetes mellitus
1299,Aspirin + Dipyridamole,aspirin-dipyridamole-1299,Anti-platelet drugs,Venous thrombosis
85,Aspirin,aspirin-85,Anti-platelet drugs,Yellow fever infection
164,Calcipotriol Monohydrate,calcipotriol-monohydrate-164,Topical Vitamin D & related preparations,Scalp psoriasis
163,Calamine + Zinc Oxide + Glycerine,calamine-zinc-oxide-glycerine-163,Local Antipruritic,Urticaria
2035,Caffeine Citrate,caffeine-citrate-2035,Painkiller Muscle Relaxant,Obstructive sleep apnea (OSA)
1487,Cabozantinib,cabozantinib-1487,Tyrosine Kinase Inhibitor,Renal cell carcinoma
1434,Cabergoline,cabergoline-1434,Antiparkinson drugs,Hyperprolactinemia
1286,Cabazitaxel,cabazitaxel-1286,Cytotoxic Chemotherapy,Prostate carcinoma
1397,Butoconazole Nitrate,butoconazole-nitrate-1397,Drugs used in Vaginal and Vulval condition,Vulvovaginal candidiasis
159,Butenafine Hydrochloride,butenafine-hydrochloride-159,Topical Antifungal preparations,Tinea (pityriasis) versicolor
158,Butamirate Citrate,butamirate-citrate-158,Cough suppressant,Whooping cough
157,Busulfan,busulfan-157,Cytotoxic Chemotherapy,Polycythaemia vera
155,Bupropion Hydrochloride,bupropion-hydrochloride-155,Atypical anti-depressant drugs,Smoking cessation
153,Bupivacaine Hydrochloride + Dextrose,bupivacaine-hydrochloride-dextrose-153,Regional anesthesia,Subarachnoid anesthesia
152,Bupivacaine Hydrochloride,bupivacaine-hydrochloride-152,Regional anesthesia,Regional anesthesia
151,Bumetanide,bumetanide-151,Loop diuretics,Oedema
150,Budesonide + Formoterol Fumarate,budesonide-formoterol-fumarate-150,,
1653,Budesonide (Tablet),budesonide-tablet-1653,Ulcerative Colitis,Ulcerative colitis
146,Budesonide (Nebuliser Suspension),budesonide-nebuliser-suspension-146,Nasal Decongestants & Other Nasal Preparations,Asthma
1652,Budesonide (Nasal Spray),budesonide-nasal-spray-1652,Nasal Decongestants & Other Nasal Preparations,Vasomotor rhinitis
1654,Budesonide (Inhaler),budesonide-inhaler-1654,Nasal Decongestants & Other Nasal Preparations,Asthma
149,Bromocriptine Mesylate,bromocriptine-mesylate-149,Antiparkinson drugs,Restless leg syndrome
84,Aspartame,aspartame-84,Oral nutritional preparations,Sugar substitute
83,Articaine Hydrochloride + Epinephrine,articaine-hydrochloride-epinephrine-83,Local & Surface anesthesia,Local anaesthesia
82,Artesunate,artesunate-82,Anti-malarial drugs,Malaria
1732,Licorice + Yellow Silk Cotton + Mastic tree,licorice-yellow-silk-cotton-mastic-tree-1732,Herbal and Nutraceuticals,Hyperacidity
1731,Licorice + Vasaka + Basil + Peppermint,licorice-vasaka-basil-peppermint-1731,Herbal and Nutraceuticals,Tonsillitis
1697,Lavendar [Lavendula stoechas],lavendar-lavendula-stoechas-1697,Herbal and Nutraceuticals,Headache
1730,Kusta Qalyee [Calcined stannum],kusta-qalyee-calcined-stannum-1730,Herbal and Nutraceuticals,Vaginal leucorrhoea
1698,Khakshi,khakshi-1698,Herbal and Nutraceuticals,Typhoid fever
72,Anastrozole,anastrozole-72,Hormonal Chemotherapy,Ovulation induction
71,Ampicillin Sodium,ampicillin-sodium-71,,
1239,Amphotericin B,amphotericin-b-1239,Other Antifungal preparations,Visceral leishmaniasis
186,Calcium Orotate,calcium-orotate-186,Minerals in bone formation,Calcium suppliment
2044,Calcium Lactate Gluconate + Coral Calcium + Vitamin C + Vitamin D3,calcium-lactate-gluconate-coral-calcium-vitamin-c-vitamin-d3-2044,Specific mineral & vitamin combined preparations,Osteoporosis
1201,Calcium Lactate Gluconate + Calcium Carbonate + Vitamin D3,calcium-lactate-gluconate-calcium-carbonate-vitamin-d3-1201,Specific mineral & vitamin combined preparations,Osteoporosis
175,Calcium Lactate Gluconate + Calcium Carbonate + Vitamin C + Vitamin D3,calcium-lactate-gluconate-calcium-carbonate-vitamin-c-vitamin-d3-175,Specific mineral & vitamin combined preparations,Osteoporosis
174,Calcium Lactate Gluconate + Calcium Carbonate + Vitamin C,calcium-lactate-gluconate-calcium-carbonate-vitamin-c-174,Specific mineral & vitamin combined preparations,Premenstrual syndrome
185,Calcium Lactate,calcium-lactate-185,Minerals in bone formation,Heartburn
182,Calcium Gluconate,calcium-gluconate-182,Minerals in bone formation,Rickets
499,Calcium Folinate [Folinic Acid],calcium-folinate-folinic-acid-499,Supportive Care Therapy,Methotrexate toxicity
1459,Calcium Dobesilate + Lidocaine + Dexamethasone,calcium-dobesilate-lidocaine-dexamethasone-1459,Drugs used in Ano-rectal region,Soreness and discomfort due to hemorrhoids
1438,Calcium Dobesilate,calcium-dobesilate-1438,Vaso Protective,
168,Calcium Carbonate + Vitamin D3 + Multimineral,calcium-carbonate-vitamin-d3-multimineral-168,Specific mineral & vitamin combined preparations,Vitamin deficiency
169,Calcium Carbonate [Elemental source] + Vitamin D3,calcium-carbonate-elemental-source-vitamin-d3-169,Specific mineral & vitamin combined preparations,Rickets
1548,Calcium Carbonate [Eggshell Source] + Vitamin D3,calcium-carbonate-eggshell-source-vitamin-d3-1548,Specific mineral & vitamin combined preparations,Osteoporosis
1200,Calcium Carbonate [Coral source] + Vitamin D3,calcium-carbonate-coral-source-vitamin-d3-1200,Specific mineral & vitamin combined preparations,Rickets
1772,Calcium Carbonate [Algae source] + Vitamin D3,calcium-carbonate-algae-source-vitamin-d3-1772,Specific mineral & vitamin combined preparations,Rickets
173,Calcium Carbonate,calcium-carbonate-173,Minerals in bone formation,
171,Calcium Acetate,calcium-acetate-171,,
167,Calcium + Vitamin D3 + Vitamin C + Vitamin E + Multimineral,calcium-vitamin-d3-vitamin-c-vitamin-e-multimineral-167,Specific mineral & vitamin combined preparations,Vitamin deficiency
166,Calcitriol + Calcium Citrate,calcitriol-calcium-citrate-166,Specific mineral & vitamin combined preparations,Rickets
165,Calcitriol,calcitriol-165,Vitamin in bone formation,Secondary hyperparathyroidism
69,Amoxicillin Trihydrate,amoxicillin-trihydrate-69,Broad spectrum penicillins,Skin and skin sructure infections
70,Amoxicillin + Clavulanic Acid,amoxicillin-clavulanic-acid-70,Broad spectrum penicillins,Severe or recurrent respiratory tract infections
1712,Herbal cough syrup [Glycyrrhiza Glabra],herbal-cough-syrup-glycyrrhiza-glabra-1712,Herbal and Nutraceuticals,Tonsillitis
1515,Herbal cough syrup [Adhatoda Vasica],herbal-cough-syrup-adhatoda-vasica-1515,Herbal and Nutraceuticals,Whooping cough
2065,Hazmina,hazmina-2065,Herbal and Nutraceuticals,Indigestion
1771,Habb-e-Nishat,habb-e-nishat-1771,Herbal and Nutraceuticals,Erectile dysfunction
1703,Guggul + Barberry + Chebulic Myrobalan,guggul-barberry-chebulic-myrobalan-1703,Herbal and Nutraceuticals,Haemorrhoids (Piles)
56,Aminocaproic acid,aminocaproic-acid-56,Anti-fibrinolytic drugs,Traumatic hyphema
1662,Amino Acid Keto Analogues,amino-acid-keto-analogues-1662,Other genito-urinary preparations,Chronic renal failure
57,Amino Acid + Glucose + Electrolytes,amino-acid-glucose-electrolytes-57,Parenteral nutritional preparations,Prevent nitrogen loss
1788,Amino Acid + Dextrose + Eloctrolytes,amino-acid-dextrose-eloctrolytes-1788,Parenteral nutritional preparations,Supplement for intravenous nutrition
205,Carboxymethylcellulose Sodium,carboxymethylcellulose-sodium-205,,
1401,Carboprost Tromethamine,carboprost-tromethamine-1401,Drugs acting on the Uterus,Postpartum haemorrhage
204,Carboplatin,carboplatin-204,Cytotoxic Chemotherapy,Stomach carcinoma
203,Carbonyl Iron + Folic Acid + Zinc Sulfate + Vitamin B Complex + Vitamin C,carbonyl-iron-folic-acid-zinc-sulfate-vitamin-b-complex-vitamin-c-203,Iron; Vitamin & Mineral Combined preparation,Vitamin or mineral supplement
202,Carbonyl Iron + Folic Acid + Zinc Sulfate,carbonyl-iron-folic-acid-zinc-sulfate-202,Iron; Vitamin & Mineral Combined preparation,Pregnancy
244,Carbonyl Iron + Folic Acid,carbonyl-iron-folic-acid-244,Iron & Vitamin Combined preparations,Pregnancy
201,Carbocisteine,carbocisteine-201,Cough expectorants & mucolytics,Mucolytic
200,Carbimazole,carbimazole-200,Anti-thyroid drugs,Thyrotoxicosis
197,Carbetocin,carbetocin-197,Drugs acting on the Uterus,Uterine atony
196,Carbamazepine,carbamazepine-196,Primary anti-epileptic drugs,Unipolar and bipolar depression
195,Captopril,captopril-195,Angiotensin-converting enzyme (ACE) inhibitors,Myocardial infarction
194,Capsaicin,capsaicin-194,Topical Analgesics,Trigeminal neuralgia
247,Caprylic + Capric Triglyceride,caprylic-capric-triglyceride-247,Emollients & combined preparations,Repairs; restores & protects dry skin & sensitive skin conditions
193,Capecitabine,capecitabine-193,Cytotoxic Chemotherapy,Carcinoma of the colon or rectum
192,Candesartan Cilexetil + Hydrochlorothiazide,candesartan-cilexetil-hydrochlorothiazide-192,Combined antihypertensive preparations,Hypertension
191,Candesartan Cilexetil,candesartan-cilexetil-191,Angiotensin-ll receptor blocker,Hypertension
245,Canagliflozin Hemihydrate,canagliflozin-hemihydrate-245,Sodium-glucose Cotransporter-2 (SGLT2) Inhibitors,Type 2 DM
246,Camphor + Menthol + Oil Clove + Oil Eucalyptus + Oil Turpentine,camphor-menthol-oil-clove-oil-eucalyptus-oil-turpentine-246,Topical Analgesics,Strains
1574,Calcium Polystyrene Sulfonate,calcium-polystyrene-sulfonate-1574,Hyperkalaemia Products,Hyperkalemia
187,Calcium Pantothenate,calcium-pantothenate-187,Minerals in bone formation,Peripheral neuritis
55,Amino Acid + D-Sorbitol + Electrolytes,amino-acid-d-sorbitol-electrolytes-55,Parenteral nutritional preparations,Protein supply for peritoneal nutrition
1708,Dinar,dinar-1708,Herbal and Nutraceuticals,Jaundice
1718,Devilâ€™s Cotton + Ashoka bark + Aswagandha,devils-cotton-ashoka-bark-aswagandha-1718,Herbal and Nutraceuticals,Vaginal leucorrhoea
1786,Devil's Claw,devils-claw-1786,Herbal and Nutraceuticals,Osteoarthritis (degenerative arthritis)
1701,Datura + Rhubarb + Ginger,datura-rhubarb-ginger-1701,Herbal and Nutraceuticals,Pain
1733,Date palm + Betel nut + Acacia,date-palm-betel-nut-acacia-1733,Herbal and Nutraceuticals,Vaginal leucorrhoea
2054,Alpha Lipoic Acid,alpha-lipoic-acid-2054,,
1871,Alogliptin Benzoate,alogliptin-benzoate-1871,Dipeptidyl Peptidase-4 (DPP-4) inhibitor,Type 2 DM
44,Almotriptan,almotriptan-44,5-HT Agonists,Migraine headache
39,Almitrine Bismesylate + Raubasine,almitrine-bismesylate-raubasine-39,Cerebral vasodilator & Neurosensory oxygenator drugs,Vestibular and visual disorders of ischaemic aetiology
1369,Allylestrenol,allylestrenol-1369,Female Sex hormones,Threatened abortion
1850,Cefprozil,cefprozil-1850,Second generation Cephalosporins,Upper and lower respiratory tract infections
221,Cefpodoxime Proxetil + Clavulanic Acid,cefpodoxime-proxetil-clavulanic-acid-221,Third generation Cephalosporins,Urinary tract infection
220,Cefpodoxime Proxetil,cefpodoxime-proxetil-220,Third generation Cephalosporins,Urinary tract infection
219,Cefpirome Sulphate,cefpirome-sulphate-219,Fourth generation Cephalosporins,Susceptible infections
1274,Cefoxitin,cefoxitin-1274,Second generation Cephalosporins,Urinary tract infection
218,Cefotaxime,cefotaxime-218,Third generation Cephalosporins,Urinary tract infection
1415,Cefoperazone Sodium,cefoperazone-sodium-1415,Third generation Cephalosporins,Urinary tract infection
217,Cefixime Trihydrate,cefixime-trihydrate-217,Third generation Cephalosporins,Urethritis
215,Cefepime Hydrochloride,cefepime-hydrochloride-215,Fourth generation Cephalosporins,Urinary tract infection
212,Cefditoren,cefditoren-212,Third generation Cephalosporins,Tonsillitis
211,Cefdinir,cefdinir-211,Third generation Cephalosporins,Uncomplicated cystitis
1454,Cefazolin Sodium,cefazolin-sodium-1454,First generation Cephalosporins,Urinary tract infection
210,Cefadroxil Monohydrate,cefadroxil-monohydrate-210,First generation Cephalosporins,Urinary tract infection
209,Cefaclor Monohydrate,cefaclor-monohydrate-209,Second generation Cephalosporins,Urinary tract infection
2033,Casirivimab + Imdevimab,casirivimab-imdevimab-2033,,
208,Carvedilol,carvedilol-208,Alpha adrenoceptor blocking drugs,Myocardial infarction
1621,Carmellose Sodium,carmellose-sodium-1621,Drugs for Dry eyes,Eye irritation
1437,Carisoprodol,carisoprodol-1437,Locally acting Skeletal Muscle Relaxants,Sedation
207,Carboxymethylcellulose Sodium + Hypromellose,carboxymethylcellulose-sodium-hypromellose-207,Drugs for Dry eyes,Dry eye
206,Carboxymethylcellulose Sodium + Glycerin,carboxymethylcellulose-sodium-glycerin-206,Drugs for Dry eyes,Irritation and discomfort of the eye
1966,Bitter Melon [Korola],bitter-melon-korola-1966,Herbal and Nutraceuticals,
1535,Biotin,biotin-1535,Herbal and Nutraceuticals,Hair loss
1526,Bilberry fruit [Vaccinium myrtillus L],bilberry-fruit-vaccinium-myrtillus-l-1526,Herbal and Nutraceuticals,Night blindness
1717,Belgiri [Bael fruit + Connessi bark],belgiri-bael-fruit-connessi-bark-1717,Herbal and Nutraceuticals,Shigellosis
1686,Barsina,barsina-1686,Herbal and Nutraceuticals,Vitiligo
1893,Adhatoda vasica + Centella asiatica,adhatoda-vasica-centella-asiatica-1893,,
23,Adenosine,adenosine-23,Paroxysmal supraventricular tachycardia (PSVT),Supraventricular tachycardia
15,Adefovir Dipivoxil,adefovir-dipivoxil-15,Hepatic viral infections (Hepatitis B),Hepatitis B virus
11,Adapalene + Benzoyl peroxide,adapalene-benzoyl-peroxide-11,Topical retinoid and related preparations,Acne vulgaris
14,Adapalene,adapalene-14,Topical retinoid and related preparations,Keratosis pilaris
1705,Aloe + Black Pepper + Henbane,aloe-black-pepper-henbane-1705,Herbal and Nutraceuticals,Obesity
243,Chloramphenicol + Lidocaine Hydrochloride,chloramphenicol-lidocaine-hydrochloride-243,Aural Anti-bacterial preparations,Otic infections
1847,Chloramphenicol (Oral),chloramphenicol-oral-1847,Macrolides,Bacterial infections
237,Chloramphenicol (Ophthalmic),chloramphenicol-ophthalmic-237,Macrolides,Whippleâ€™s disease
236,Chlorambucil,chlorambucil-236,Cytotoxic Chemotherapy,Waldenstrom's macroglobulinaemia
1290,Cetuximab,cetuximab-1290,Targeted Cancer Therapy,Head & neck cancer
235,Cetrorelix Acetate,cetrorelix-acetate-235,Drugs affecting (inhibiting) gonadotrophin,In vitro fertilization
1477,Cetirizine Hydrochloride (Ophthalmic),cetirizine-hydrochloride-ophthalmic-1477,Ophthalmic Anti-allergic preparations,Itching
234,Cetirizine Hydrochloride,cetirizine-hydrochloride-234,Sedating Anti-histamine,Urticaria
233,Cetalkonium Chloride + Choline Salicylate,cetalkonium-chloride-choline-salicylate-233,Non-steroidal Anti-inflammatory Drugs (NSAIDs),Mouth ulcers
1640,Ceritinib,ceritinib-1640,,
231,Cephalexin,cephalexin-231,First generation Cephalosporins,Urinary tract infection
232,Cephradine,cephradine-232,First generation Cephalosporins,Urinary tract infection
1801,Celiprolol Hydrochloride,celiprolol-hydrochloride-1801,Beta-blockers,Lower the blood pressure
228,Celecoxib,celecoxib-228,Drugs for Osteoarthritis,Spondylitis
227,Cefuroxime Axetil + Clavulanic Acid,cefuroxime-axetil-clavulanic-acid-227,Second generation Cephalosporins,Urinary tract infection
226,Cefuroxime Axetil,cefuroxime-axetil-226,Second generation Cephalosporins,Urinary tract infection
225,Ceftriaxone Sodium,ceftriaxone-sodium-225,Third generation Cephalosporins,Urinary tract infection
224,Ceftibuten Dihydrate,ceftibuten-dihydrate-224,Third generation Cephalosporins,Urinary tract infection
223,Ceftazidime Pentahydrate,ceftazidime-pentahydrate-223,Third generation Cephalosporins,Urinary tract infection
2029,Ceftazidime + Avibactam,ceftazidime-avibactam-2029,,
1716,Almond + Coconut + Edible Pine + Salep,almond-coconut-edible-pine-salep-1716,Herbal and Nutraceuticals,Nocturnal enuresis
1715,Acacia + Dates + Asparagus + Edible Pine,acacia-dates-asparagus-edible-pine-1715,Herbal and Nutraceuticals,Gonorrhoea
1752,Abhayarista,abhayarista-1752,Herbal and Nutraceuticals,Piles
1833,23 herb formula to increase breast milk,23-herb-formula-to-increase-breast-milk-1833,Herbal and Nutraceuticals,Promote the quality and quantity of milk
27,Acarbose,acarbose-27,Alpha-Glucosidase inhibitor,Type 2 DM
2040,Acalabrutinib,acalabrutinib-2040,Tyrosine Kinase Inhibitor,Lymphoma
1294,Abiraterone Acetate,abiraterone-acetate-1294,Cytotoxic Chemotherapy,Metastatic prostate cancer
2043,Abemaciclib,abemaciclib-2043,Protein kinase inhibitor,Breast cancer
24,Abacavir + Lamivudine + Zidovudine,abacavir-lamivudine-zidovudine-24,Drugs for HIV / Anti-retroviral drugs,HIV infection
1776,Ciclopirox Olamine (Nail Lacquer),ciclopirox-olamine-nail-lacquer-1776,Other preparations,Onychomycosis
293,Ciclopirox Olamine (Cream),ciclopirox-olamine-cream-293,Topical Antifungal preparations,Tinea (pityriasis) versicolor
254,Ciclesonide (Nasal Spray),ciclesonide-nasal-spray-254,Respiratory corticosteroids,Perennial or seasonal allergic rhinitis
1840,Ciclesonide (Inhalation Aerosol),ciclesonide-inhalation-aerosol-1840,Respiratory corticosteroids,Asthma
1176,Choriogonadotropin Alpha,choriogonadotropin-alpha-1176,Female Sex hormones,Male Hypogonadotropic Hypogonadism
905,Cholera Saline,cholera-saline-905,Intravenous fluid preparations,Vomiting
251,Chlorthalidone,chlorthalidone-251,Thiazide diuretics & related drugs,Oedema
250,Chlorpromazine Hydrochloride,chlorpromazine-hydrochloride-250,Anti-emetic drugs,Vomiting
249,Chlorpheniramine Maleate,chlorpheniramine-maleate-249,Sedating Anti-histamine,Watery eye
296,Chloroxylenol + Triclosan,chloroxylenol-triclosan-296,Chlorhexidine & Chloroxylenol preparations,Sunburn
1227,Chloroxylenol,chloroxylenol-1227,Chlorhexidine & Chloroxylenol preparations,Sunburn
248,Chloroquine Phosphate,chloroquine-phosphate-248,Anti-malarial drugs,Systemic lupus erythematosus (SLE)
1642,Chlorhexidine hydrochloride + Nystatin,chlorhexidine-hydrochloride-nystatin-1642,Chlorhexidine & Chloroxylenol preparations,Tinea corporis (ringworm)
242,Chlorhexidine Hydrochloride + Cetrimide,chlorhexidine-hydrochloride-cetrimide-242,Chlorhexidine & Chloroxylenol preparations,Sunburn
239,Chlorhexidine Gluconate + Isopropyl alcohol,chlorhexidine-gluconate-isopropyl-alcohol-239,Chlorhexidine & Chloroxylenol preparations,Preoperative hand disinfection
241,Chlorhexidine Gluconate + Cetrimide,chlorhexidine-gluconate-cetrimide-241,Chlorhexidine & Chloroxylenol preparations,Wounds
1492,Chlorhexidine Gluconate [7.1%],chlorhexidine-gluconate-71-1492,Bleaching and Disinfectants,Prophylaxis of omphalitis
1494,Chlorhexidine Gluconate [4%],chlorhexidine-gluconate-4-1494,Other antibacterial preparation,Bacterial infections
1493,Chlorhexidine Gluconate [1%],chlorhexidine-gluconate-1-1493,Other antibacterial preparation,Topical antiseptic
240,Chlorhexidine Gluconate [0.2%],chlorhexidine-gluconate-02-240,Other antibacterial preparation,Surface disinfection
1845,Clascoterone,clascoterone-1845,Acne treatment preparations,Acne vulgaris
271,Clarithromycin,clarithromycin-271,Macrolides,Tonsillitis
1441,Citric Acid Monohydrate,citric-acid-monohydrate-1441,Cough suppressant,Dry cough
269,Citicoline Sodium,citicoline-sodium-269,CNS stimulant drugs,Parkinsonâ€™s disease
268,Citalopram Hydrobromide,citalopram-hydrobromide-268,SSRIs & related anti-depressant drugs,Trichotillomania
267,Cisplatin,cisplatin-267,Cytotoxic Chemotherapy,Stomach carcinoma
265,Ciprofloxacin + Hydrocortisone Acetate,ciprofloxacin-hydrocortisone-acetate-265,Aural steroid & antibiotic combined preparations,Steroid-responsive inflammatory ocular conditions
264,Ciprofloxacin + Dexamethasone,ciprofloxacin-dexamethasone-264,Aural steroid & antibiotic combined preparations,Steroid-responsive inflammatory ocular conditions
266,Ciprofloxacin (Ophthalmic),ciprofloxacin-ophthalmic-266,Aural Anti-bacterial preparations,Superficial ophthalmic infections
263,Ciprofloxacin,ciprofloxacin-263,Anti-diarrhoeal Antimicrobial drugs,Urinary tract infection
1884,Ciprofibrate,ciprofibrate-1884,,
262,Cinnarizine + Dimenhydrinate,cinnarizine-dimenhydrinate-262,Anti vertigo drugs,Vertigo
261,Cinnarizine,cinnarizine-261,Anti vertigo drugs,Vertigo
260,Cinchocaine Hydrochloride,cinchocaine-hydrochloride-260,Local & Surface anesthesia,Surface anaesthesia
1224,Cinchocaine + Hydrocortisone + Neomycin + Esculin,cinchocaine-hydrocortisone-neomycin-esculin-1224,Compound steroidal preparations,Pruritus ani
259,Cinchocaine + Hydrocortisone + Framycetin + Esculin,cinchocaine-hydrocortisone-framycetin-esculin-259,Compound steroidal preparations,Pruritus ani
258,Cinacalcet,cinacalcet-258,Calcium Regulator,Secondary hyperparathyroidism
256,Cilostazol,cilostazol-256,Peripheral Vasodilator drugs: Intermittent Claudication,Intermittent angioneurotic dysbasia
1377,Cilnidipine,cilnidipine-1377,Calcium-channel blockers,Hypertension
1667,Ciclopirox Olamine (Shampoo),ciclopirox-olamine-shampoo-1667,Topical Antifungal preparations,Seborrheic dermatitis of the scalp
295,Clostridium Botulinum Toxin Type A Neurotoxin,clostridium-botulinum-toxin-type-a-neurotoxin-295,Vaccines; Anti-sera & Immunoglobulin,Strabismus
286,Clopidogrel Bisulphate,clopidogrel-bisulphate-286,Anti-platelet drugs,Unstable angina
86,Clopidogrel + Aspirin,clopidogrel-aspirin-86,Anti-platelet drugs,Transient ischemic attack
285,Clonidine Hydrochloride,clonidine-hydrochloride-285,Centrally acting antihypertensive drugs (central sympatholytic),Social anxiety disorder
284,Clonazepam,clonazepam-284,Adjunct anti-epileptic drugs,
283,Clomipramine Hydrochloride,clomipramine-hydrochloride-283,Tricyclic & related anti-depressant drugs,Trichotillomania
282,Clomiphene Citrate,clomiphene-citrate-282,Drugs for Infertility,Stimulate ovulation
281,Clobetasone Butyrate,clobetasone-butyrate-281,Clobetasol / Clobetasone & Combined Preparations,Seborrhoeic dermatitis
279,Clobetasol Propionate + Salicylic Acid,clobetasol-propionate-salicylic-acid-279,Clobetasol / Clobetasone & Combined Preparations,Warts
1578,Clobetasol Propionate + Ofloxacin + Ornidazole + Terbinafine,clobetasol-propionate-ofloxacin-ornidazole-terbinafine-1578,Clobetasol / Clobetasone & Combined Preparations,Vaginitis
278,Clobetasol Propionate + Neomycin Sulphate + Nystatin,clobetasol-propionate-neomycin-sulphate-nystatin-278,Clobetasol / Clobetasone & Combined Preparations,Severe inflammatory skin disorders
280,Clobetasol Propionate (Topical Preparation),clobetasol-propionate-topical-preparation-280,Other Topical corticosteroids,Vitiligo
1582,Clobetasol Propionate (Scalp Preparation),clobetasol-propionate-scalp-preparation-1582,Other Topical corticosteroids,Seborrheic dermatitis of the scalp
277,Clobazam,clobazam-277,Benzodiazepine hypnotics,Tension
276,Clioquinol + Flumetasone Pivalate,clioquinol-flumetasone-pivalate-276,Aural steroid & antibiotic combined preparations,Inflammation of the external ear
275,Clindamycin + Tretinoin,clindamycin-tretinoin-275,Topical antibiotic & retinoid preparations,Acne vulgaris
274,Clindamycin + Benzoyl peroxide,clindamycin-benzoyl-peroxide-274,Benzoyl peroxide; Azelaic acid & other preparations,Acne vulgaris
1834,Clindamycin (Vaginal Cream),clindamycin-vaginal-cream-1834,Macrolides,Bacterial vaginosis
1588,Clindamycin (Lotion),clindamycin-lotion-1588,Macrolides,Bacterial vaginosis
273,Clindamycin,clindamycin-273,Macrolides,Toxic shock syndrome
